customer_id,join_date,province,age_group,gender,loyalty_tier,preferred_channel
C00126,2024-08-20,KwaZulu-Natal,36-50,Male,Silver,In-store
C00127,2024-02-13,Mpumalanga,26-35,Female,Silver,In-store
C00128,2024-01-06,Mpumalanga,36-50,Male,Bronze,App
C00129,2023-08-13,Gauteng,36-50,Male,Silver,Drive-thru
C00130,2023-05-22,KwaZulu-Natal,36-50,Female,Bronze,Drive-thru
C00131,2024-06-05,KwaZulu-Natal,50+,Male,Bronze,In-store
C00132,2024-05-20,Gauteng,18-25,Male,Bronze,In-store
C00133,2023-04-04,Gauteng,36-50,Female,Gold,Drive-thru
C00134,2023-02-18,Western Cape,26-35,Male,Bronze,App
C00135,2023-04-23,Free State,18-25,Male,Gold,Drive-thru
C00136,2023-06-06,Western Cape,18-25,Male,Bronze,Drive-thru
C00137,2024-10-04,KwaZulu-Natal,18-25,Male,Gold,In-store
C00138,2023-06-13,Limpopo,36-50,Male,Gold,App
C00139,2024-11-27,Western Cape,26-35,Female,Gold,In-store
C00140,2024-03-08,Free State,26-35,Male,Bronze,Drive-thru
C00141,2024-09-02,Free State,18-25,Female,Silver,App
C00142,2023-03-07,Gauteng,26-35,Male,Gold,Drive-thru
C00143,2024-01-30,KwaZulu-Natal,50+,Female,Bronze,Drive-thru
C00144,2024-01-26,Western Cape,26-35,Female,Bronze,In-store
C00145,2024-09-02,Western Cape,36-50,Female,Silver,In-store
C00146,2024-04-24,Gauteng,36-50,Female,Bronze,App
C00147,2024-06-25,Eastern Cape,36-50,Female,Silver,Drive-thru
C00148,2023-09-15,KwaZulu-Natal,26-35,Male,Bronze,Drive-thru
C00149,2024-07-20,Gauteng,36-50,Female,Bronze,Drive-thru
C00150,2023-01-12,Western Cape,26-35,Female,Bronze,App
C00151,2024-11-27,North West,50+,Male,Bronze,In-store
C00152,2023-04-28,Gauteng,18-25,Male,Bronze,In-store
C00153,2024-11-29,Gauteng,26-35,Male,Silver,In-store
C00154,2024-07-03,KwaZulu-Natal,18-25,Female,Bronze,App
C00155,2023-10-01,Northern Cape,36-50,Male,Silver,Drive-thru
C00156,2024-10-18,Gauteng,26-35,Male,Silver,In-store
C00157,2023-12-15,Eastern Cape,18-25,Male,Bronze,Drive-thru
C00158,2023-04-25,Limpopo,18-25,Female,Bronze,In-store
C00159,2023-10-28,Gauteng,50+,Male,Bronze,In-store
C00160,2024-03-21,Limpopo,36-50,Male,Bronze,App
C00161,2023-06-11,Western Cape,26-35,Female,Bronze,In-store
C00162,2024-04-09,Eastern Cape,36-50,Female,Bronze,Drive-thru
C00163,2023-01-04,Eastern Cape,26-35,Female,Gold,App
C00164,2023-09-27,KwaZulu-Natal,26-35,Female,Bronze,In-store
C00165,2024-05-27,Gauteng,50+,Male,Bronze,Drive-thru
C00166,2023-07-02,Mpumalanga,18-25,Male,Gold,Drive-thru
C00167,2024-06-03,Western Cape,26-35,Male,Silver,App
C00168,2023-04-19,Gauteng,26-35,Female,Silver,In-store
C00169,2024-10-02,Gauteng,26-35,Male,Silver,In-store
C00170,2023-11-02,Eastern Cape,26-35,Female,Bronze,In-store
C00171,2024-10-16,Eastern Cape,26-35,Prefer not to say,Silver,In-store
C00172,2024-06-03,Gauteng,18-25,Male,Gold,Drive-thru
C00173,2024-09-15,KwaZulu-Natal,26-35,Male,Bronze,In-store
C00174,2023-07-23,Gauteng,18-25,Male,Bronze,App
C00175,2023-06-06,Eastern Cape,18-25,Male,Bronze,App
C00176,2024-01-18,Gauteng,18-25,Male,Bronze,Drive-thru
C00177,2023-06-15,Eastern Cape,36-50,Female,Bronze,In-store
C00178,2024-07-06,KwaZulu-Natal,26-35,Male,Silver,In-store
C00179,2024-06-27,Free State,36-50,Male,Bronze,In-store
C00180,2023-01-01,Gauteng,36-50,Male,Bronze,In-store
C00181,2024-09-05,Western Cape,36-50,Female,Bronze,In-store
C00182,2023-11-28,Gauteng,26-35,Female,Silver,App
C00183,2024-05-15,North West,26-35,Female,Bronze,In-store
C00184,2023-01-20,North West,26-35,Prefer not to say,Bronze,In-store
C00185,2023-04-25,Gauteng,36-50,Female,Silver,In-store
C00186,2024-01-07,Eastern Cape,26-35,Male,Bronze,Drive-thru
C00187,2023-11-11,Mpumalanga,36-50,Male,Bronze,App
C00188,2023-09-03,KwaZulu-Natal,36-50,Male,Bronze,Drive-thru
C00189,2023-03-01,KwaZulu-Natal,18-25,Female,Silver,In-store
C00190,2023-09-04,Gauteng,18-25,Male,Silver,Drive-thru
C00191,2024-08-03,Gauteng,36-50,Male,Bronze,In-store
C00192,2023-03-22,North West,26-35,Female,Bronze,In-store
C00193,2023-03-29,North West,18-25,Female,Silver,App
C00194,2024-05-12,Eastern Cape,50+,Female,Silver,App
C00195,2023-03-12,Western Cape,18-25,Male,Silver,Drive-thru
C00196,2024-06-29,Western Cape,50+,Female,Silver,App
C00197,2023-05-09,Limpopo,36-50,Female,Bronze,In-store
C00198,2023-05-12,North West,36-50,Male,Silver,In-store
C00199,2024-11-06,North West,18-25,Female,Silver,App
C00200,2024-05-01,Limpopo,18-25,Female,Silver,In-store
C00201,2024-07-16,Eastern Cape,26-35,Male,Gold,App
C00202,2023-06-19,Gauteng,18-25,Male,Bronze,App
C00203,2023-09-29,Gauteng,26-35,Female,Gold,Drive-thru
C00204,2024-06-24,North West,26-35,Male,Silver,App
C00205,2024-09-13,Eastern Cape,18-25,Female,Silver,App
C00206,2024-03-09,Gauteng,18-25,Male,Bronze,In-store
C00207,2023-08-05,Gauteng,36-50,Female,Silver,In-store
C00208,2024-07-06,Eastern Cape,18-25,Female,Silver,Drive-thru
C00209,2024-12-07,Gauteng,18-25,Female,Bronze,Drive-thru
C00210,2023-07-25,Gauteng,36-50,Male,Silver,In-store
C00211,2024-12-31,KwaZulu-Natal,50+,Male,Silver,Drive-thru
C00212,2023-11-16,Eastern Cape,26-35,Male,Bronze,App
C00213,2024-02-13,Eastern Cape,18-25,Male,Bronze,Drive-thru
C00214,2024-11-18,Gauteng,26-35,Male,Bronze,In-store
C00215,2024-10-27,Limpopo,50+,Female,Bronze,App
C00216,2024-01-18,Gauteng,36-50,Male,Bronze,In-store
C00217,2024-03-24,Western Cape,36-50,Female,Bronze,App
C00218,2024-06-13,Limpopo,26-35,Male,Bronze,In-store
C00219,2024-04-07,Eastern Cape,26-35,Female,Bronze,App
C00220,2023-05-04,Mpumalanga,18-25,Prefer not to say,Bronze,App
C00221,2023-09-11,Eastern Cape,36-50,Male,Silver,In-store
C00222,2023-08-19,KwaZulu-Natal,36-50,Female,Bronze,App
C00223,2023-03-07,Gauteng,50+,Female,Silver,App
C00224,2023-12-13,Western Cape,26-35,Female,Bronze,Drive-thru
C00225,2023-01-22,Western Cape,18-25,Female,Bronze,In-store
C00226,2024-08-25,Gauteng,26-35,Male,Bronze,In-store
C00227,2024-07-21,Free State,36-50,Male,Silver,App
C00228,2023-08-24,KwaZulu-Natal,36-50,Male,Silver,In-store
C00229,2024-08-25,North West,18-25,Female,Silver,App
C00230,2023-08-14,Eastern Cape,26-35,Prefer not to say,Bronze,In-store
C00231,2023-01-08,Limpopo,26-35,Female,Silver,In-store
C00232,2023-03-14,KwaZulu-Natal,26-35,Male,Bronze,In-store
C00233,2024-12-25,KwaZulu-Natal,36-50,Female,Silver,In-store
C00234,2024-10-08,KwaZulu-Natal,26-35,Female,Bronze,Drive-thru
C00235,2023-03-02,Gauteng,36-50,Male,Bronze,Drive-thru
C00236,2023-08-23,Limpopo,26-35,Male,Bronze,App
C00237,2023-03-11,Western Cape,36-50,Male,Silver,In-store
C00238,2023-02-02,Gauteng,26-35,Female,Bronze,Drive-thru
C00239,2023-12-05,Eastern Cape,36-50,Female,Bronze,Drive-thru
C00240,2023-03-14,Gauteng,26-35,Male,Bronze,Drive-thru
C00241,2024-06-10,Free State,26-35,Male,Gold,App
C00242,2023-09-01,Free State,18-25,Female,Bronze,In-store
C00243,2023-10-13,North West,26-35,Female,Silver,In-store
C00244,2024-11-16,Western Cape,26-35,Female,Gold,Drive-thru
C00245,2024-05-12,Gauteng,26-35,Female,Gold,Drive-thru
C00246,2023-08-08,North West,50+,Male,Silver,In-store
C00247,2024-07-06,KwaZulu-Natal,18-25,Female,Silver,In-store
C00248,2023-05-16,Free State,36-50,Male,Bronze,App
C00249,2024-08-07,Free State,50+,Female,Bronze,Drive-thru
C00250,2024-08-13,Mpumalanga,18-25,Male,Silver,App
C00251,2024-04-29,Western Cape,36-50,Female,Bronze,App
C00252,2023-09-06,KwaZulu-Natal,26-35,Male,Bronze,In-store
C00253,2024-04-29,Mpumalanga,18-25,Female,Silver,In-store
C00254,2024-02-21,Western Cape,26-35,Male,Bronze,App
C00255,2023-07-14,Gauteng,50+,Male,Silver,Drive-thru
C00256,2023-04-07,KwaZulu-Natal,18-25,Female,Silver,In-store
C00257,2023-04-10,Free State,26-35,Male,Bronze,In-store
C00258,2024-11-05,Eastern Cape,26-35,Female,Bronze,App
C00259,2024-03-17,KwaZulu-Natal,36-50,Female,Bronze,In-store
C00260,2023-12-29,Gauteng,18-25,Female,Gold,App
C00261,2024-03-09,Eastern Cape,36-50,Female,Bronze,App
C00262,2024-02-25,Northern Cape,36-50,Female,Bronze,App
C00263,2024-04-23,Gauteng,36-50,Female,Silver,Drive-thru
C00264,2023-02-25,KwaZulu-Natal,50+,Female,Bronze,In-store
C00265,2024-11-20,North West,36-50,Male,Bronze,App
C00266,2024-10-31,Limpopo,18-25,Male,Bronze,In-store
C00267,2024-10-23,Eastern Cape,26-35,Female,Bronze,Drive-thru
C00268,2023-04-11,Limpopo,26-35,Male,Bronze,Drive-thru
C00269,2023-03-04,Western Cape,26-35,Female,Silver,In-store
C00270,2024-02-17,Western Cape,26-35,Male,Bronze,In-store
C00271,2023-12-14,Mpumalanga,26-35,Male,Bronze,In-store
C00272,2023-04-22,Mpumalanga,26-35,Female,Bronze,App
C00273,2023-09-12,Mpumalanga,50+,Female,Bronze,In-store
C00274,2023-07-16,North West,18-25,Prefer not to say,Gold,App
C00275,2023-07-14,KwaZulu-Natal,50+,Female,Bronze,App
C00276,2024-07-03,KwaZulu-Natal,26-35,Male,Gold,App
C00277,2024-04-04,Limpopo,36-50,Male,Bronze,Drive-thru
C00278,2023-05-24,Eastern Cape,36-50,Male,Silver,In-store
C00279,2024-03-08,Limpopo,26-35,Female,Bronze,Drive-thru
C00280,2023-07-07,Limpopo,26-35,Male,Bronze,In-store
C00281,2023-10-13,North West,26-35,Male,Bronze,In-store
C00282,2024-04-18,Western Cape,26-35,Female,Silver,In-store
C00283,2023-09-13,Western Cape,50+,Female,Bronze,App
C00284,2023-03-19,Gauteng,36-50,Male,Bronze,In-store
C00285,2024-03-29,KwaZulu-Natal,18-25,Male,Silver,App
C00286,2024-07-17,Gauteng,18-25,Female,Bronze,In-store
C00287,2023-04-11,KwaZulu-Natal,26-35,Female,Bronze,Drive-thru
C00288,2023-02-21,KwaZulu-Natal,18-25,Male,Silver,App
C00289,2024-10-29,Western Cape,36-50,Male,Bronze,App
C00290,2024-07-07,Eastern Cape,18-25,Female,Silver,Drive-thru
C00291,2023-01-16,Gauteng,26-35,Female,Bronze,App
C00292,2023-04-06,Gauteng,18-25,Female,Bronze,In-store
C00293,2023-08-31,Mpumalanga,26-35,Female,Bronze,App
C00294,2023-06-20,Western Cape,36-50,Female,Gold,App
C00295,2024-02-21,Gauteng,26-35,Male,Silver,In-store
C00296,2024-05-12,KwaZulu-Natal,50+,Male,Gold,In-store
C00297,2024-05-07,Limpopo,36-50,Female,Bronze,In-store
C00298,2023-08-07,Gauteng,26-35,Female,Silver,App
C00299,2024-02-15,Eastern Cape,18-25,Female,Bronze,In-store
C00300,2023-03-02,Gauteng,36-50,Male,Bronze,In-store
C00301,2023-06-18,Gauteng,50+,Female,Silver,In-store
C00302,2024-01-24,KwaZulu-Natal,36-50,Male,Bronze,App
C00303,2023-01-03,KwaZulu-Natal,18-25,Female,Bronze,App
C00304,2024-02-04,Eastern Cape,50+,Male,Bronze,App
C00305,2023-09-29,Limpopo,26-35,Female,Silver,In-store
C00306,2024-04-10,Free State,36-50,Female,Bronze,Drive-thru
C00307,2023-10-20,KwaZulu-Natal,50+,Male,Bronze,App
C00308,2024-03-09,Western Cape,18-25,Male,Gold,App
C00309,2024-12-14,Limpopo,50+,Female,Bronze,Drive-thru
C00310,2024-07-23,Western Cape,26-35,Female,Bronze,Drive-thru
C00311,2024-11-08,KwaZulu-Natal,50+,Male,Silver,App
C00312,2024-05-13,Gauteng,26-35,Male,Silver,Drive-thru
C00313,2023-06-08,Gauteng,50+,Male,Bronze,App
C00314,2023-07-14,Free State,18-25,Female,Silver,In-store
C00315,2023-10-31,Mpumalanga,36-50,Male,Bronze,In-store
C00316,2023-08-11,Eastern Cape,26-35,Male,Bronze,App
C00317,2023-03-01,KwaZulu-Natal,26-35,Female,Bronze,App
C00318,2024-08-16,Gauteng,18-25,Female,Bronze,In-store
C00319,2024-07-09,Gauteng,36-50,Male,Bronze,Drive-thru
C00320,2023-03-04,Gauteng,18-25,Prefer not to say,Gold,In-store
C00321,2023-11-18,KwaZulu-Natal,26-35,Female,Silver,In-store
C00322,2023-02-28,Limpopo,26-35,Female,Gold,In-store
C00323,2023-02-21,Eastern Cape,50+,Male,Silver,Drive-thru
C00324,2024-08-21,Western Cape,18-25,Female,Bronze,Drive-thru
C00325,2024-05-03,Free State,18-25,Male,Bronze,App
C00326,2024-05-29,Limpopo,18-25,Male,Gold,Drive-thru
C00327,2024-06-27,KwaZulu-Natal,26-35,Male,Silver,Drive-thru
C00328,2023-06-11,Eastern Cape,18-25,Female,Gold,Drive-thru
C00329,2023-02-28,KwaZulu-Natal,26-35,Female,Bronze,In-store
C00330,2024-06-04,Gauteng,36-50,Female,Bronze,App
C00331,2023-03-24,Western Cape,36-50,Male,Bronze,In-store
C00332,2023-07-10,Limpopo,26-35,Female,Bronze,Drive-thru
C00333,2023-03-12,Gauteng,18-25,Female,Bronze,Drive-thru
C00334,2024-09-01,Gauteng,36-50,Male,Bronze,App
C00335,2023-03-11,Gauteng,18-25,Female,Silver,App
C00336,2024-11-22,Gauteng,36-50,Male,Bronze,App
C00337,2023-08-29,Mpumalanga,26-35,Female,Bronze,In-store
C00338,2024-02-18,Limpopo,26-35,Male,Silver,In-store
C00339,2023-05-03,KwaZulu-Natal,26-35,Female,Bronze,App
C00340,2024-08-06,Gauteng,36-50,Prefer not to say,Bronze,In-store
C00341,2023-09-10,KwaZulu-Natal,18-25,Prefer not to say,Bronze,Drive-thru
C00342,2024-08-15,KwaZulu-Natal,26-35,Male,Silver,In-store
C00343,2024-08-31,Gauteng,18-25,Male,Bronze,Drive-thru
C00344,2023-02-10,KwaZulu-Natal,36-50,Male,Gold,App
C00345,2024-09-26,KwaZulu-Natal,50+,Female,Bronze,In-store
C00346,2023-03-25,Eastern Cape,26-35,Female,Bronze,In-store
C00347,2024-03-05,Eastern Cape,26-35,Male,Bronze,Drive-thru
C00348,2024-11-04,Gauteng,50+,Male,Bronze,App
C00349,2024-08-20,Western Cape,26-35,Female,Bronze,In-store
C00350,2024-08-01,Eastern Cape,26-35,Female,Silver,In-store
C00351,2024-06-19,KwaZulu-Natal,26-35,Male,Bronze,App
C00352,2023-11-20,Mpumalanga,36-50,Male,Silver,In-store
C00353,2023-09-25,Eastern Cape,18-25,Male,Silver,In-store
C00354,2023-07-29,Gauteng,36-50,Female,Silver,App
C00355,2024-11-16,Gauteng,26-35,Female,Bronze,App
C00356,2023-11-18,Eastern Cape,18-25,Female,Gold,App
C00357,2023-09-02,Gauteng,36-50,Female,Bronze,Drive-thru
C00358,2023-09-29,Eastern Cape,26-35,Female,Bronze,App
C00359,2024-02-10,Free State,18-25,Male,Silver,Drive-thru
C00360,2023-05-15,KwaZulu-Natal,36-50,Male,Bronze,In-store
C00361,2024-11-18,KwaZulu-Natal,50+,Prefer not to say,Silver,In-store
C00362,2024-10-22,Eastern Cape,50+,Male,Bronze,In-store
C00363,2023-11-04,KwaZulu-Natal,50+,Male,Bronze,In-store
C00364,2024-04-13,KwaZulu-Natal,36-50,Prefer not to say,Bronze,Drive-thru
C00365,2023-11-20,Free State,18-25,Male,Bronze,Drive-thru
C00366,2023-03-16,KwaZulu-Natal,26-35,Female,Bronze,App
C00367,2023-01-10,Free State,36-50,Female,Bronze,App
C00368,2024-04-14,North West,26-35,Female,Silver,App
C00369,2024-09-28,Gauteng,36-50,Male,Silver,App
C00370,2024-07-30,Gauteng,36-50,Male,Silver,In-store
C00371,2023-04-13,Gauteng,26-35,Male,Silver,App
C00372,2023-03-17,Gauteng,50+,Male,Bronze,App
C00373,2024-07-04,Gauteng,26-35,Female,Silver,In-store
C00374,2023-08-07,Eastern Cape,26-35,Male,Bronze,In-store
C00375,2024-06-02,Gauteng,50+,Male,Bronze,In-store
C00376,2023-09-29,Western Cape,26-35,Female,Silver,App
C00377,2023-05-16,Mpumalanga,18-25,Female,Bronze,In-store
C00378,2023-12-24,Gauteng,26-35,Female,Silver,App
C00379,2023-03-12,Mpumalanga,36-50,Male,Bronze,In-store
C00380,2023-09-08,Western Cape,36-50,Female,Bronze,In-store
C00381,2024-01-14,Gauteng,36-50,Female,Bronze,Drive-thru
C00382,2023-10-19,Eastern Cape,36-50,Male,Bronze,App
C00383,2023-06-11,Eastern Cape,26-35,Male,Silver,In-store
C00384,2024-03-24,North West,36-50,Male,Gold,Drive-thru
C00385,2024-07-10,Limpopo,50+,Female,Bronze,In-store
C00386,2024-12-21,Mpumalanga,18-25,Male,Bronze,Drive-thru
C00387,2023-11-06,Western Cape,18-25,Female,Bronze,App
C00388,2024-09-18,Gauteng,50+,Female,Silver,In-store
C00389,2024-10-31,Limpopo,36-50,Female,Bronze,App
C00390,2024-06-25,Mpumalanga,50+,Male,Gold,In-store
C00391,2023-01-09,Northern Cape,50+,Male,Silver,In-store
C00392,2024-11-14,KwaZulu-Natal,26-35,Male,Silver,In-store
C00393,2024-07-21,Western Cape,36-50,Male,Bronze,In-store
C00394,2023-11-03,Limpopo,26-35,Female,Silver,App
C00395,2024-11-10,Western Cape,18-25,Male,Silver,Drive-thru
C00396,2023-04-17,Free State,36-50,Male,Silver,Drive-thru
C00397,2023-05-18,Mpumalanga,26-35,Male,Silver,In-store
C00398,2023-09-28,KwaZulu-Natal,36-50,Male,Bronze,App
C00399,2023-04-29,Limpopo,26-35,Female,Silver,In-store
C00400,2023-04-20,Limpopo,26-35,Female,Gold,App
C00401,2024-07-20,Gauteng,18-25,Female,Gold,Drive-thru
C00402,2023-06-09,North West,26-35,Male,Silver,In-store
C00403,2023-10-06,KwaZulu-Natal,18-25,Female,Bronze,Drive-thru
C00404,2023-10-16,Mpumalanga,18-25,Female,Bronze,Drive-thru
C00405,2024-09-11,Western Cape,50+,Male,Silver,App
C00406,2023-08-04,North West,18-25,Male,Bronze,App
C00407,2023-12-18,KwaZulu-Natal,26-35,Female,Bronze,App
C00408,2023-07-28,Gauteng,26-35,Female,Bronze,Drive-thru
C00409,2024-12-04,North West,36-50,Female,Silver,App
C00410,2024-10-11,Gauteng,18-25,Male,Bronze,In-store
C00411,2023-09-28,Western Cape,36-50,Male,Bronze,App
C00412,2024-06-01,Free State,36-50,Female,Bronze,In-store
C00413,2024-05-15,Free State,18-25,Female,Silver,Drive-thru
C00414,2023-09-15,KwaZulu-Natal,26-35,Female,Gold,Drive-thru
